OTUID,pos,depth,EC,pH,HCO3,ORP,Cl,SO4,WTOC,Na,Ca,Mg,K
JM1_1,JM1,1,110.9,5.36,3.5,-90,-0.45,1871.783404,4.361,5594.254,253.446,411.191,148.115
JM1_2,JM1,2,110,5.55,3.5,-105,-0.525,1928.545688,6.936,5594.254,253.446,385.361,150.575
JM1_3,JM1,3,103.25,5.59,3.5,-105,-0.525,1598.01758,7.448,5594.254,253.446,388.091,147.705
JM1_4,JM1,4,110.45,5.48,3.5,-105,-0.525,1702.281639,9.624,5594.254,253.446,207.691,98.595
JM1_5,JM1,5,107.3,5.77,3.5,-105,-0.525,1662.526228,10.468,5594.254,253.446,198.671,91.875
JM1_6,JM1,6,110,5.78,3.5,-105,-0.525,1687.862031,8.952,5594.254,253.446,194.381,88.725
JM1_7,JM1,7,110.9,5.79,3.5,-105,-0.525,1626.272634,9.222,5594.254,253.446,176.011,89.355
JM1_8,JM1,8,108.5,5.83,3.5,-105,-0.525,1609.733836,10.51,5594.254,253.446,185.361,84.525
JM1_9,JM1,9,107.9,5.99,3.5,-105,-0.525,2013.011494,13.458,5594.254,253.446,173.811,82.215
JM1_10,JM1,10,107.15,5.92,3.5,-105,-0.525,1843.406015,9.864,5594.254,253.446,165.341,80.535
JM1_11,JM1,11,106.4,5.93,3.5,-105,-0.525,2138.4103,9.492,5594.254,253.446,160.721,77.175
JM1_12,JM1,12,106.25,5.79,3.5,-105,-0.525,1483.088451,8.18,5594.254,253.446,144.441,144.425
JM3_1,JM3,1,58.22,5.79,3.5,-105,-0.525,952.3571208,6.873,5594.254,253.446,151.151,98.595
JM3_2,JM3,2,55.49,5.69,3.5,-105,-0.525,774.1256407,9.132,5594.254,253.446,441.011,91.875
JM3_3,JM3,3,56.51,5.81,3.5,-105,-0.525,874.8153836,9.574,5594.254,253.446,435.551,113.295
JM3_4,JM3,4,57.59,5.76,3.5,-105,-0.525,853.0291565,10.064,5594.254,253.446,430.721,116.655
JM3_5,JM3,5,56.45,5.76,5.5,-105,-0.525,763.3515987,10.622,5594.254,253.446,417.491,106.785
JM3_6,JM3,6,56.21,5.8,5.5,-105,-0.525,764.5899609,9.866,5594.254,179.616,415.601,132.825
JM3_7,JM3,7,55.25,5.93,5.5,-175,-0.875,740.4311677,10.122,5594.254,179.616,406.781,131.775
JM3_8,JM3,8,54.74,5.76,5.5,-168,-0.84,720.0843682,9.174,5594.254,179.616,397.331,130.725
JM3_9,JM3,9,53.12,5.63,5.5,-154,-0.77,674.3010897,9.642,5594.254,179.616,385.361,128.415
JM3_10,JM3,10,53.51,5.77,5.5,-168,-0.84,697.202703,8.025,3098.764,179.616,746.621,113.295
JM3_11,JM3,11,52.94,5.72,5.5,-161,-0.805,702.5272671,8.076,3098.764,179.616,750.311,116.655
JM3_12,JM3,12,51.95,5.74,5.5,-138,-0.69,636.6077662,8.406,3098.764,179.616,740.471,106.785
JM4_1,JM4,1,56.96,5.49,5.5,-130,-0.65,993.9724971,6.404,3098.764,179.616,758.101,132.825
JM4_2,JM4,2,57.62,5.61,5.5,-203,-1.015,944.5396859,6.5616,3098.764,179.616,768.351,131.775
JM4_3,JM4,3,58.22,5.51,5.5,-210,-1.05,952.975612,7.171,3098.764,179.616,780.651,130.725
JM4_4,JM4,4,58.52,5.6,5.5,-240,-1.2,956.6066059,7.613,3098.764,179.616,787.621,128.415
